Customer_ID,Customer_Name,Email,Signup_Date,Transaction_Date,Product_Category,Purchase_Amount,Payment_Method,Device
CUST-0256,Ethan Wright,ethan.wright370@email.com,2023-02-05,2023-02-22,Clothing,163.79,Google Pay,Tablet
CUST-0478,Daniel Thompson,daniel.thompson609@email.com,2023-01-06,2023-02-22,Jewelry,1336.10,PayPal,Tablet
CUST-0340,Jack Olatunji,jack.anderson915@email.com,2023-01-09,2023-02-24,Home & Garden,439.88,Debit Card,Tablet
CUST-0039,Bob Lopez,bob.lopez954@email.com,2023-01-30,2023-02-25,Clothing,200.60,Google Pay,Mobile
CUST-0095,Peter Williams,peter.williams823@email.com,2023-01-01,2023-02-25,Home & Garden,263.48,Apple Pay,Mobile
CUST-0137,Rachel Lewis,rachel.lewis594@email.com,2023-02-15,2023-02-25,Jewelry,1852.94,Debit Card,Mobile
CUST-0374,Charlotte Obaje,charlotte.martinez647@email.com,2023-02-17,2023-02-25,Toys & Games,63.51,Bank Transfer,Desktop
CUST-0491,Sophia Martin,sophia.martin485@email.com,2023-01-07,2023-02-25,Clothing,200.77,Apple Pay,Mobile
CUST-0427,Isabella Brown,isabella.brown232@email.com,2023-02-23,2023-02-26,Automotive,91.37,Google Pay,Desktop
CUST-0311,Zack Davis,zack.davis696@email.com,2023-01-17,2023-02-27,Books,74.95,Bank Transfer,Desktop
CUST-0155,Eve Taylor,eve.taylor474@email.com,2023-01-07,2023-02-28,Books,28.48,Debit Card,Mobile
CUST-0158,Ella Taylor,ella.taylor864@email.com,2023-02-03,2023-02-28,Clothing,243.81,Google Pay,Mobile
CUST-0395,Emma Johnson,emma.johnson719@email.com,2023-02-11,2023-02-28,Electronics,1532.74,Bank Transfer,Mobile
CUST-0145,Tara Hall,tara.hall469@email.com,2023-02-21,2023-03-01,Jewelry,910.32,Credit Card,Tablet
CUST-0403,Bob Nwachukwu,bob.green550@email.com,2023-01-19,2023-03-01,Automotive,392.07,Google Pay,Desktop
CUST-0042,Ava Scott,ava.scott213@email.com,2023-01-17,2023-03-02,Toys & Games,59.95,Apple Pay,Tablet
CUST-0095,Peter Williams,peter.williams823@email.com,2023-01-01,2023-03-04,Home & Garden,152.38,Bank Transfer,Desktop
CUST-0039,Bob Lopez,bob.lopez954@email.com,2023-01-30,2023-03-06,Automotive,359.10,Apple Pay,Mobile
CUST-0193,Andrew White,andrew.white578@email.com,2023-03-03,2023-03-06,Food & Grocery,151.84,Google Pay,Desktop
CUST-0202,Matthew Garcia,matthew.garcia231@email.com,2023-01-21,2023-03-07,Sports & Outdoors,216.92,Bank Transfer,Mobile
CUST-0324,Kate Thompson,kate.thompson880@email.com,2023-02-17,2023-03-08,Jewelry,645.64,Google Pay,Tablet
CUST-0220,Amelia Robinson,amelia.robinson895@email.com,2023-02-16,2023-03-09,Books,61.05,PayPal,Mobile
CUST-0344,Daniel Obaje,daniel.martinez767@email.com,2023-01-08,2023-03-09,Jewelry,2148.61,Google Pay,Tablet
CUST-0025,Joseph Lopez,joseph.lopez808@email.com,2023-02-24,2023-03-10,Sports & Outdoors,444.65,Debit Card,Desktop
CUST-0070,Bob Garcia,bob.garcia650@email.com,2023-02-15,2023-03-10,Beauty & Health,26.62,Debit Card,Mobile
CUST-0357,Ethan Rodriguez,ethan.rodriguez450@email.com,2023-02-28,2023-03-10,Automotive,849.61,Credit Card,Desktop
CUST-0114,James Walker,james.walker800@email.com,2023-02-21,2023-03-11,Sports & Outdoors,302.46,Apple Pay,Tablet
CUST-0317,David Obaje,david.martinez97@email.com,2023-02-11,2023-03-11,Clothing,16.65,Apple Pay,Mobile
CUST-0403,Bob Nwachukwu,bob.green550@email.com,2023-01-19,2023-03-11,Toys & Games,147.90,Google Pay,Tablet
CUST-0004,Mason Clark,mason.clark752@email.com,2023-02-26,2023-03-14,Food & Grocery,270.42,Bank Transfer,Tablet
CUST-0122,Ivy Young,ivy.young583@email.com,2023-03-05,2023-03-14,Home & Garden,33.57,Apple Pay,Desktop
CUST-0185,Lucas Brown,lucas.brown729@email.com,2023-02-07,2023-03-15,Automotive,790.77,Credit Card,Mobile
CUST-0296,Quinn Davis,quinn.davis681@email.com,2023-03-06,2023-03-15,Food & Grocery,274.24,Credit Card,Mobile
CUST-0340,Jack Olatunji,jack.anderson915@email.com,2023-01-09,2023-03-15,Jewelry,2117.71,Credit Card,Desktop
CUST-0403,Bob Nwachukwu,bob.green550@email.com,2023-01-19,2023-03-15,Home & Garden,77.43,Debit Card,Mobile
CUST-0247,Wendy Harris,wendy.harris627@email.com,2023-02-15,2023-03-16,Clothing,202.10,Google Pay,Desktop
CUST-0439,Xavier Young,xavier.young12@email.com,2023-03-16,2023-03-16,Automotive,939.04,Google Pay,Tablet
CUST-0395,Emma Johnson,emma.johnson719@email.com,2023-02-11,2023-03-17,Jewelry,1973.22,Credit Card,Mobile
CUST-0067,Sam Hernandez,sam.hernandez1@email.com,2023-02-17,2023-03-18,Jewelry,1289.24,Apple Pay,Desktop
CUST-0230,Isabella Wright,isabella.wright677@email.com,2023-02-28,2023-03-18,Jewelry,472.21,Bank Transfer,Tablet
CUST-0378,Kate Clark,kate.clark342@email.com,2023-01-11,2023-03-19,Clothing,81.97,Credit Card,Mobile
CUST-0427,Isabella Brown,isabella.brown232@email.com,2023-02-23,2023-03-19,Beauty & Health,20.23,Google Pay,Mobile
CUST-0108,Sophia Robinson,sophia.robinson149@email.com,2023-03-03,2023-03-20,Sports & Outdoors,662.80,Bank Transfer,Desktop
CUST-0256,Ethan Wright,ethan.wright370@email.com,2023-02-05,2023-03-20,Electronics,939.21,Google Pay,Tablet
CUST-0449,Sophia Miller,sophia.miller522@email.com,2023-03-16,2023-03-20,Toys & Games,43.83,Bank Transfer,Mobile
CUST-0273,Jack Obaje,jack.martinez638@email.com,2023-03-15,2023-03-21,Books,28.16,Apple Pay,Tablet
CUST-0413,Sam Young,sam.young715@email.com,2023-01-09,2023-03-21,Toys & Games,147.52,Bank Transfer,Desktop
CUST-0039,Bob Lopez,bob.lopez954@email.com,2023-01-30,2023-03-24,Home & Garden,328.84,Apple Pay,Mobile
CUST-0324,Kate Thompson,kate.thompson880@email.com,2023-02-17,2023-03-24,Automotive,753.55,Bank Transfer,Mobile
CUST-0128,Ethan Obaje,ethan.martinez882@email.com,2023-03-17,2023-03-25,Beauty & Health,133.50,Bank Transfer,Mobile
CUST-0440,Ava Obaje,ava.martinez785@email.com,2023-03-23,2023-03-25,Beauty & Health,183.28,Credit Card,Desktop
CUST-0067,Sam Hernandez,sam.hernandez1@email.com,2023-02-17,2023-03-26,Toys & Games,118.97,PayPal,Desktop
CUST-0145,Tara Hall,tara.hall469@email.com,2023-02-21,2023-03-26,Beauty & Health,88.52,Debit Card,Tablet
CUST-0291,Evelyn Martin,evelyn.martin585@email.com,2023-01-27,2023-03-27,Electronics,1061.47,Debit Card,Mobile
CUST-0055,Olivia Miller,olivia.miller99@email.com,2023-02-08,2023-03-28,Toys & Games,51.79,Apple Pay,Desktop
CUST-0108,Sophia Robinson,sophia.robinson149@email.com,2023-03-03,2023-03-28,Clothing,264.60,PayPal,Mobile
CUST-0395,Emma Johnson,emma.johnson719@email.com,2023-02-11,2023-03-29,Books,72.71,PayPal,Tablet
CUST-0059,Eve Allen,eve.allen3@email.com,2023-02-24,2023-03-30,Automotive,655.74,Bank Transfer,Desktop
CUST-0177,Mia Harris,mia.harris815@email.com,2023-03-19,2023-03-31,Jewelry,1003.98,Credit Card,Mobile
CUST-0476,Mia Owem,mia.gonzalez308@email.com,2023-01-20,2023-03-31,Clothing,241.83,Debit Card,Mobile
CUST-0479,Victor Hall,victor.hall801@email.com,2023-03-09,2023-03-31,Jewelry,765.99,Apple Pay,Mobile
CUST-0166,Diana Garcia,diana.garcia453@email.com,2023-01-25,2023-04-01,Jewelry,1588.32,Bank Transfer,Tablet
CUST-0485,Charlotte Thompson,charlotte.thompson522@email.com,2023-03-17,2023-04-01,Clothing,298.89,Bank Transfer,Desktop
CUST-0376,Alice Walker,alice.walker684@email.com,2023-02-16,2023-04-02,Clothing,112.08,PayPal,Mobile
CUST-0449,Sophia Miller,sophia.miller522@email.com,2023-03-16,2023-04-02,Jewelry,2223.54,PayPal,Desktop
CUST-0039,Bob Lopez,bob.lopez954@email.com,2023-01-30,2023-04-03,Automotive,579.20,PayPal,Tablet
CUST-0361,Daniel Olatunji,daniel.anderson633@email.com,2023-01-24,2023-04-03,Toys & Games,50.44,PayPal,Mobile
CUST-0409,Joseph Williams,joseph.williams816@email.com,2023-03-24,2023-04-03,Jewelry,434.44,Credit Card,Tablet
CUST-0042,Ava Scott,ava.scott213@email.com,2023-01-17,2023-04-04,Beauty & Health,48.50,Apple Pay,Mobile
CUST-0053,James Williams,james.williams200@email.com,2023-03-27,2023-04-04,Home & Garden,473.73,Debit Card,Desktop
CUST-0230,Isabella Wright,isabella.wright677@email.com,2023-02-28,2023-04-04,Home & Garden,241.71,Bank Transfer,Tablet
CUST-0246,Abigail Thompson,abigail.thompson620@email.com,2023-03-09,2023-04-04,Toys & Games,135.74,PayPal,Tablet
CUST-0449,Sophia Miller,sophia.miller522@email.com,2023-03-16,2023-04-04,Toys & Games,100.30,Apple Pay,Desktop
CUST-0128,Ethan Obaje,ethan.martinez882@email.com,2023-03-17,2023-04-05,Home & Garden,450.00,PayPal,Tablet
CUST-0249,Henry Scott,henry.scott439@email.com,2023-03-20,2023-04-05,Automotive,748.28,Google Pay,Desktop
CUST-0249,Henry Scott,henry.scott439@email.com,2023-03-20,2023-04-05,Electronics,824.21,Apple Pay,Tablet
CUST-0478,Daniel Thompson,daniel.thompson609@email.com,2023-01-06,2023-04-05,Toys & Games,139.40,Google Pay,Desktop
CUST-0067,Sam Hernandez,sam.hernandez1@email.com,2023-02-17,2023-04-06,Automotive,541.10,Debit Card,Desktop
CUST-0094,Peter Walker,peter.walker263@email.com,2023-03-12,2023-04-07,Clothing,76.49,Debit Card,Tablet
CUST-0244,Charlie Young,charlie.young236@email.com,2023-02-09,2023-04-08,Automotive,675.84,Google Pay,Tablet
CUST-0022,Olivia Jones,olivia.jones531@email.com,2023-03-25,2023-04-09,Books,51.60,Apple Pay,Tablet
CUST-0112,Lucas Thomas,lucas.thomas61@email.com,2023-02-20,2023-04-09,Food & Grocery,35.89,Debit Card,Tablet
CUST-0291,Evelyn Martin,evelyn.martin585@email.com,2023-01-27,2023-04-09,Clothing,210.75,Credit Card,Desktop
CUST-0145,Tara Hall,tara.hall469@email.com,2023-02-21,2023-04-10,Toys & Games,107.84,Debit Card,Desktop
CUST-0246,Abigail Thompson,abigail.thompson620@email.com,2023-03-09,2023-04-10,Clothing,114.28,Credit Card,Mobile
CUST-0357,Ethan Rodriguez,ethan.rodriguez450@email.com,2023-02-28,2023-04-11,Sports & Outdoors,286.95,Apple Pay,Mobile
CUST-0465,Grace Brown,grace.brown582@email.com,2023-03-30,2023-04-13,Sports & Outdoors,426.31,Credit Card,Mobile
CUST-0177,Mia Harris,mia.harris815@email.com,2023-03-19,2023-04-14,Toys & Games,19.71,Credit Card,Mobile
CUST-0469,David Lopez,david.lopez544@email.com,2023-04-12,2023-04-14,Toys & Games,73.45,Apple Pay,Mobile
CUST-0278,Daniel Wright,daniel.wright842@email.com,2023-03-25,2023-04-15,Jewelry,1658.87,Google Pay,Desktop
CUST-0324,Kate Thompson,kate.thompson880@email.com,2023-02-17,2023-04-15,Home & Garden,199.10,PayPal,Tablet
CUST-0400,Zack Obaje,zack.martinez633@email.com,2023-04-10,2023-04-15,Electronics,1454.10,Apple Pay,Mobile
CUST-0059,Eve Allen,eve.allen3@email.com,2023-02-24,2023-04-16,Electronics,812.75,Credit Card,Tablet
CUST-0067,Sam Hernandez,sam.hernandez1@email.com,2023-02-17,2023-04-16,Food & Grocery,6.82,Apple Pay,Mobile
CUST-0385,Zack Jackson,zack.jackson39@email.com,2023-04-11,2023-04-16,Electronics,996.60,Apple Pay,Desktop
CUST-0220,Amelia Robinson,amelia.robinson895@email.com,2023-02-16,2023-04-17,Books,25.92,Debit Card,Desktop
CUST-0098,Noah Robinson,noah.robinson745@email.com,2023-02-07,2023-04-18,Jewelry,2026.28,Credit Card,Tablet
CUST-0374,Charlotte Obaje,charlotte.martinez647@email.com,2023-02-17,2023-04-18,Automotive,494.99,Google Pay,Mobile
CUST-0061,Charlotte Adewale,charlotte.moore489@email.com,2023-01-20,2023-04-19,Electronics,699.30,PayPal,Desktop
CUST-0267,James Olatunji,james.anderson182@email.com,2023-01-31,2023-04-19,Food & Grocery,78.83,Apple Pay,Mobile
CUST-0280,Abigail Owem,abigail.gonzalez243@email.com,2023-04-10,2023-04-20,Beauty & Health,60.97,PayPal,Tablet
CUST-0287,Ella Martin,ella.martin638@email.com,2023-03-11,2023-04-20,Jewelry,1489.03,Google Pay,Desktop
CUST-0397,Evelyn Walker,evelyn.walker291@email.com,2023-03-25,2023-04-20,Jewelry,659.24,Bank Transfer,Desktop
CUST-0158,Ella Taylor,ella.taylor864@email.com,2023-02-03,2023-04-22,Beauty & Health,64.43,Apple Pay,Tablet
CUST-0339,Yara Brown,yara.brown598@email.com,2023-03-03,2023-04-22,Beauty & Health,91.45,Bank Transfer,Mobile
CUST-0376,Alice Walker,alice.walker684@email.com,2023-02-16,2023-04-23,Clothing,129.63,Bank Transfer,Desktop
CUST-0061,Charlotte Adewale,charlotte.moore489@email.com,2023-01-20,2023-04-24,Automotive,743.48,Credit Card,Mobile
CUST-0137,Rachel Lewis,rachel.lewis594@email.com,2023-02-15,2023-04-24,Food & Grocery,290.16,Debit Card,Tablet
CUST-0166,Diana Garcia,diana.garcia453@email.com,2023-01-25,2023-04-25,Sports & Outdoors,276.54,Google Pay,Tablet
CUST-0445,Matthew Miller,matthew.miller209@email.com,2023-03-20,2023-04-25,Food & Grocery,85.01,Bank Transfer,Tablet
CUST-0078,Ethan Nwachukwu,ethan.green226@email.com,2023-04-16,2023-04-26,Books,22.07,PayPal,Desktop
CUST-0130,Evelyn Lopez,evelyn.lopez339@email.com,2023-01-13,2023-04-26,Food & Grocery,282.20,Google Pay,Tablet
CUST-0145,Tara Hall,tara.hall469@email.com,2023-02-21,2023-04-26,Clothing,98.65,Credit Card,Tablet
CUST-0317,David Obaje,david.martinez97@email.com,2023-02-11,2023-04-26,Toys & Games,69.73,Bank Transfer,Desktop
CUST-0378,Kate Clark,kate.clark342@email.com,2023-01-11,2023-04-26,Electronics,1115.75,Google Pay,Desktop
CUST-0465,Grace Brown,grace.brown582@email.com,2023-03-30,2023-04-26,Toys & Games,16.07,Debit Card,Tablet
CUST-0466,Lucas Davis,lucas.davis432@email.com,2023-04-16,2023-04-26,Automotive,316.97,PayPal,Desktop
CUST-0488,Daniel Martin,daniel.martin281@email.com,2023-03-23,2023-04-26,Books,79.76,Google Pay,Mobile
CUST-0466,Lucas Davis,lucas.davis432@email.com,2023-04-16,2023-04-27,Automotive,456.46,Debit Card,Mobile
CUST-0488,Daniel Martin,daniel.martin281@email.com,2023-03-23,2023-04-27,Sports & Outdoors,361.93,Google Pay,Mobile
CUST-0246,Abigail Thompson,abigail.thompson620@email.com,2023-03-09,2023-04-28,Home & Garden,378.00,PayPal,Desktop
CUST-0248,William Nwachukwu,william.green373@email.com,2023-04-24,2023-04-28,Jewelry,2736.27,Apple Pay,Mobile
CUST-0328,Zack Miller,zack.miller704@email.com,2023-01-17,2023-04-28,Jewelry,1402.47,Google Pay,Mobile
CUST-0439,Xavier Young,xavier.young12@email.com,2023-03-16,2023-04-28,Toys & Games,42.22,Google Pay,Mobile
CUST-0378,Kate Clark,kate.clark342@email.com,2023-01-11,2023-04-29,Automotive,788.84,Google Pay,Desktop
CUST-0470,Abigail Hall,abigail.hall500@email.com,2023-04-22,2023-04-29,Jewelry,2053.90,Google Pay,Desktop
CUST-0012,Victor Rodriguez,victor.rodriguez60@email.com,2023-02-28,2023-05-01,Food & Grocery,297.34,Apple Pay,Mobile
CUST-0089,Ava Rodriguez,ava.rodriguez836@email.com,2023-05-01,2023-05-01,Jewelry,2657.76,Google Pay,Desktop
CUST-0329,Ethan Brown,ethan.brown688@email.com,2023-04-09,2023-05-01,Jewelry,1557.38,PayPal,Desktop
CUST-0220,Amelia Robinson,amelia.robinson895@email.com,2023-02-16,2023-05-02,Toys & Games,21.98,Bank Transfer,Desktop
CUST-0491,Sophia Martin,sophia.martin485@email.com,2023-01-07,2023-05-02,Books,58.55,Bank Transfer,Tablet
CUST-0429,Zack Nwachukwu,zack.green441@email.com,2023-03-20,2023-05-03,Home & Garden,517.31,Bank Transfer,Desktop
CUST-0447,Lucas Olatunji,lucas.anderson713@email.com,2023-04-16,2023-05-03,Electronics,1041.24,PayPal,Desktop
CUST-0024,Grace Scott,grace.scott592@email.com,2023-04-28,2023-05-04,Clothing,261.31,Credit Card,Tablet
CUST-0098,Noah Robinson,noah.robinson745@email.com,2023-02-07,2023-05-04,Food & Grocery,86.93,Google Pay,Desktop
CUST-0198,Yara Walker,yara.walker647@email.com,2023-04-09,2023-05-04,Automotive,336.86,PayPal,Desktop
CUST-0466,Lucas Davis,lucas.davis432@email.com,2023-04-16,2023-05-04,Toys & Games,36.91,Apple Pay,Desktop
CUST-0469,David Lopez,david.lopez544@email.com,2023-04-12,2023-05-04,Food & Grocery,177.57,Apple Pay,Tablet
CUST-0287,Ella Martin,ella.martin638@email.com,2023-03-11,2023-05-05,Home & Garden,485.28,Debit Card,Desktop
CUST-0296,Quinn Davis,quinn.davis681@email.com,2023-03-06,2023-05-05,Food & Grocery,222.95,Apple Pay,Desktop
CUST-0333,Peter Lee,peter.lee35@email.com,2023-04-02,2023-05-05,Electronics,1795.75,Google Pay,Mobile
CUST-0346,Sam Lopez,sam.lopez589@email.com,2023-01-21,2023-05-05,Food & Grocery,23.92,Bank Transfer,Desktop
CUST-0086,Charlotte Olatunji,charlotte.anderson873@email.com,2023-02-11,2023-05-06,Books,16.22,PayPal,Tablet
CUST-0250,Yara Hall,yara.hall59@email.com,2023-04-22,2023-05-06,Toys & Games,21.53,Credit Card,Tablet
CUST-0267,James Olatunji,james.anderson182@email.com,2023-01-31,2023-05-06,Jewelry,529.96,Apple Pay,Tablet
CUST-0321,Frank Jones,frank.jones435@email.com,2023-05-01,2023-05-06,Food & Grocery,81.44,Credit Card,Mobile
CUST-0411,Frank Johnson,frank.johnson463@email.com,2023-05-02,2023-05-06,Clothing,148.33,PayPal,Desktop
CUST-0457,Tara White,tara.white466@email.com,2023-04-20,2023-05-06,Home & Garden,517.95,Debit Card,Desktop
CUST-0054,Rachel Garcia,rachel.garcia238@email.com,2023-04-23,2023-05-07,Electronics,1505.96,Apple Pay,Tablet
CUST-0089,Ava Rodriguez,ava.rodriguez836@email.com,2023-05-01,2023-05-07,Clothing,53.03,PayPal,Desktop
CUST-0107,William King,william.king931@email.com,2023-03-10,2023-05-07,Toys & Games,99.15,Google Pay,Tablet
CUST-0070,Bob Garcia,bob.garcia650@email.com,2023-02-15,2023-05-08,Electronics,1529.88,Debit Card,Mobile
CUST-0331,Alice Olatunji,alice.anderson884@email.com,2023-04-08,2023-05-08,Electronics,764.37,Google Pay,Desktop
CUST-0466,Lucas Davis,lucas.davis432@email.com,2023-04-16,2023-05-08,Beauty & Health,102.75,Bank Transfer,Mobile
CUST-0466,Lucas Davis,lucas.davis432@email.com,2023-04-16,2023-05-08,Electronics,1841.56,Credit Card,Mobile
CUST-0497,Kate Owem,kate.gonzalez592@email.com,2023-04-23,2023-05-08,Automotive,294.79,Debit Card,Tablet
CUST-0122,Ivy Young,ivy.young583@email.com,2023-03-05,2023-05-09,Beauty & Health,28.07,Apple Pay,Tablet
CUST-0202,Matthew Garcia,matthew.garcia231@email.com,2023-01-21,2023-05-09,Electronics,1951.89,Apple Pay,Mobile
CUST-0281,Ava Johnson,ava.johnson450@email.com,2023-04-12,2023-05-09,Food & Grocery,98.25,Credit Card,Tablet
CUST-0265,Matthew Smith,matthew.smith140@email.com,2023-01-06,2023-05-10,Books,13.44,Google Pay,Desktop
CUST-0311,Zack Davis,zack.davis696@email.com,2023-01-17,2023-05-10,Home & Garden,118.40,Apple Pay,Desktop
CUST-0024,Grace Scott,grace.scott592@email.com,2023-04-28,2023-05-11,Clothing,194.33,Bank Transfer,Desktop
CUST-0068,Jack Brown,jack.brown626@email.com,2023-04-09,2023-05-11,Automotive,303.19,Bank Transfer,Tablet
CUST-0108,Sophia Robinson,sophia.robinson149@email.com,2023-03-03,2023-05-11,Toys & Games,33.29,Apple Pay,Mobile
CUST-0129,Abigail Obaje,abigail.martinez837@email.com,2023-01-17,2023-05-11,Sports & Outdoors,677.36,Apple Pay,Tablet
CUST-0281,Ava Johnson,ava.johnson450@email.com,2023-04-12,2023-05-11,Electronics,1888.04,PayPal,Mobile
CUST-0055,Olivia Miller,olivia.miller99@email.com,2023-02-08,2023-05-12,Toys & Games,115.02,Apple Pay,Tablet
CUST-0445,Matthew Miller,matthew.miller209@email.com,2023-03-20,2023-05-12,Home & Garden,340.69,Apple Pay,Desktop
CUST-0193,Andrew White,andrew.white578@email.com,2023-03-03,2023-05-13,Jewelry,964.82,Bank Transfer,Desktop
CUST-0328,Zack Miller,zack.miller704@email.com,2023-01-17,2023-05-13,Sports & Outdoors,117.15,Bank Transfer,Desktop
CUST-0339,Yara Brown,yara.brown598@email.com,2023-03-03,2023-05-14,Sports & Outdoors,147.02,PayPal,Mobile
CUST-0291,Evelyn Martin,evelyn.martin585@email.com,2023-01-27,2023-05-15,Food & Grocery,105.73,Bank Transfer,Desktop
CUST-0359,Quinn Jones,quinn.jones294@email.com,2023-04-03,2023-05-15,Home & Garden,500.61,Bank Transfer,Desktop
CUST-0445,Matthew Miller,matthew.miller209@email.com,2023-03-20,2023-05-15,Toys & Games,40.89,Debit Card,Mobile
CUST-0185,Lucas Brown,lucas.brown729@email.com,2023-02-07,2023-05-16,Books,48.17,PayPal,Mobile
CUST-0280,Abigail Owem,abigail.gonzalez243@email.com,2023-04-10,2023-05-16,Home & Garden,162.95,Google Pay,Tablet
CUST-0401,Jack Jackson,jack.jackson438@email.com,2023-02-21,2023-05-16,Food & Grocery,130.41,Apple Pay,Mobile
CUST-0413,Sam Young,sam.young715@email.com,2023-01-09,2023-05-16,Jewelry,515.72,Google Pay,Tablet
CUST-0135,Andrew Owem,andrew.gonzalez507@email.com,2023-03-04,2023-05-17,Food & Grocery,251.68,Debit Card,Tablet
CUST-0329,Ethan Brown,ethan.brown688@email.com,2023-04-09,2023-05-17,Automotive,364.91,Google Pay,Tablet
CUST-0346,Sam Lopez,sam.lopez589@email.com,2023-01-21,2023-05-17,Books,52.20,Apple Pay,Mobile
CUST-0145,Tara Hall,tara.hall469@email.com,2023-02-21,2023-05-18,Toys & Games,76.90,Bank Transfer,Tablet
CUST-0166,Diana Garcia,diana.garcia453@email.com,2023-01-25,2023-05-18,Food & Grocery,269.50,Bank Transfer,Tablet
CUST-0202,Matthew Garcia,matthew.garcia231@email.com,2023-01-21,2023-05-18,Automotive,612.09,Google Pay,Desktop
CUST-0220,Amelia Robinson,amelia.robinson895@email.com,2023-02-16,2023-05-18,Sports & Outdoors,63.56,Credit Card,Mobile
CUST-0281,Ava Johnson,ava.johnson450@email.com,2023-04-12,2023-05-18,Sports & Outdoors,642.77,Apple Pay,Tablet
CUST-0466,Lucas Davis,lucas.davis432@email.com,2023-04-16,2023-05-18,Toys & Games,19.04,Credit Card,Tablet
CUST-0024,Grace Scott,grace.scott592@email.com,2023-04-28,2023-05-19,Electronics,1012.96,PayPal,Mobile
CUST-0054,Rachel Garcia,rachel.garcia238@email.com,2023-04-23,2023-05-19,Toys & Games,108.81,Google Pay,Tablet
CUST-0067,Sam Hernandez,sam.hernandez1@email.com,2023-02-17,2023-05-19,Electronics,963.71,Debit Card,Desktop
CUST-0166,Diana Garcia,diana.garcia453@email.com,2023-01-25,2023-05-19,Automotive,389.31,Debit Card,Mobile
CUST-0249,Henry Scott,henry.scott439@email.com,2023-03-20,2023-05-19,Clothing,75.74,Debit Card,Tablet
CUST-0265,Matthew Smith,matthew.smith140@email.com,2023-01-06,2023-05-19,Electronics,1693.03,Debit Card,Tablet
CUST-0331,Alice Olatunji,alice.anderson884@email.com,2023-04-08,2023-05-20,Food & Grocery,276.85,Apple Pay,Mobile
CUST-0439,Xavier Young,xavier.young12@email.com,2023-03-16,2023-05-20,Beauty & Health,185.87,Google Pay,Mobile
CUST-0300,Joseph Lewis,joseph.lewis556@email.com,2023-05-11,2023-05-21,Jewelry,526.16,Apple Pay,Mobile
CUST-0332,Noah Thompson,noah.thompson881@email.com,2023-05-18,2023-05-21,Beauty & Health,141.44,Google Pay,Mobile
CUST-0428,Ethan Hernandez,ethan.hernandez26@email.com,2023-05-13,2023-05-21,Electronics,1655.21,Apple Pay,Mobile
CUST-0470,Abigail Hall,abigail.hall500@email.com,2023-04-22,2023-05-21,Books,53.84,Bank Transfer,Tablet
CUST-0494,Charlotte Lopez,charlotte.lopez857@email.com,2023-03-31,2023-05-21,Electronics,325.02,Apple Pay,Desktop
CUST-0280,Abigail Owem,abigail.gonzalez243@email.com,2023-04-10,2023-05-22,Toys & Games,47.87,Debit Card,Tablet
CUST-0311,Zack Davis,zack.davis696@email.com,2023-01-17,2023-05-22,Beauty & Health,160.67,PayPal,Mobile
CUST-0491,Sophia Martin,sophia.martin485@email.com,2023-01-07,2023-05-22,Beauty & Health,47.35,Debit Card,Desktop
