student_id,first_name,middle_name,last_name,gender,date_of_birth,admission_date,class_level,study_group,attendance,disciplinary_count,suspension_count,family_income_level,daily_study_hours,daily_gaming_hours,computers_at_home,smartphone,has_job,mother_occupation,father_occupation,Agriculture,Geography,French,Economics,Biology,Igbo,History,Physics,Chemistry,Further Mathematics,Civic Education,Computer Science,Hausa,English Language,Government,Mathematics,Yoruba,Literature in English
ALA-20240723021,Oluwaseyi,Emeka,Lawal,F,2010-04-25,2024-07-23,10,Science,85.7,1,1,Low,2-3 Hours,1-2 Hours,2,Yes,No,Artist,Business Owner,100,40,,,100,,,0,100,66,,62,,68,,39,,
ALA-20240720022,Onyeka,Ade,Ibrahim,M,2008-04-04,2024-07-20,10,Arts,83.4,0,0,High,0-1 Hour,2-3 Hours,1,Yes,No,At home,Pharmacist,100,,0,100,,,100,,,,97,,,82,100,100,,20
ALA-20240730023,Hadiza,Oluseyi,Ismail,F,2010-09-12,2024-07-30,10,Science,93.0,1,1,Upper Middle,2-3 Hours,1-2 Hours,2,Yes,No,Tailor,Musician,34,57,,,35,,,100,62,100,,90,,96,,86,,
ALA-20240919024,Damilola,,Lawal,M,2009-12-18,2024-09-19,10,Science,82.4,0,0,Low,1-2 Hours,2-3 Hours,1,Yes,No,Restaurant Owner,Restaurant Owner,99,100,,,62,,,81,60,100,,56,,100,,99,,
ALA-20240803025,Oluwakemi,Chima,Oluwaseun,F,2010-03-28,2024-08-03,10,Arts,79.6,3,0,Lower Middle,1-2 Hours,More than 3 hours,1,Yes,No,Security Guard,Lawyer,79,,,92,,90,81,,,,100,,100,58,59,36,,92
ALA-20240905026,Gbenga,Chinwe,Okoro,M,2006-06-26,2024-09-05,10,Arts,89.6,0,0,Lower Middle,1-2 Hours,1-2 Hours,2,Yes,No,At home,Lawyer,47,,,93,,,69,,,,75,,84,34,79,39,,68
ALA-20240816027,Aisha,Oluwafemi,Nduka,F,2011-06-15,2024-08-16,10,Science,90.3,0,0,Low,1-2 Hours,2-3 Hours,1,Yes,No,Painter,Pastor/Imam,100,96,,,100,,,16,1,100,,100,,100,,30,,
ALA-20240708028,Oluwakemi,,Bello,F,2008-08-23,2024-07-08,10,Arts,83.7,0,0,Low,2-3 Hours,0-1 Hour,2,No,No,Pastor/Imam,Electrician,45,,,66,,,43,,,,96,,92,75,97,34,,59
ALA-20240912029,Kayode,Chukwu,Lawal,M,2009-02-24,2024-09-12,10,Arts,89.6,1,1,Low,More than 3 hours,2-3 Hours,1,Yes,No,IT Specialist,At home,100,,,100,,,9,,,,96,,79,100,100,100,,100
ALA-20240809030,Emmanuel,Chima,Adegoke,M,2011-06-21,2024-08-09,10,Arts,96.3,0,0,High,1-2 Hours,1-2 Hours,1,Yes,No,At home,Tailor,100,,,40,,,100,,,,100,,,100,65,64,,10
ALA-20240910031,Samuel,,Aliyu,M,2011-03-25,2024-09-10,10,Science,86.5,1,0,Lower Middle,More than 3 hours,1-2 Hours,1,Yes,No,Market Trader,Cleaner,100,100,,,72,,,100,54,63,,90,,100,,68,,
ALA-20240819032,Victoria,,Chukwu,F,2009-12-30,2024-08-19,10,Science,94.8,0,0,Upper Middle,1-2 Hours,2-3 Hours,1,Yes,No,Contractor,Market Trader,72,76,,,100,,,100,83,100,,73,,70,,22,,
ALA-20240713033,Abdul,Ade,Musa,M,2009-10-04,2024-07-13,10,Arts,94.8,1,1,Upper Middle,2-3 Hours,1-2 Hours,0,Yes,No,Market Trader,Doctor,91,,,92,,,49,,,,46,,100,100,100,26,,69
ALA-20240923034,Ebele,Abiodun,Hassan,F,2011-10-06,2024-09-23,10,Arts,87.4,2,0,High,0-1 Hour,0-1 Hour,0,Yes,No,Cleaner,Architect,0,,52,0,,76,100,,,,57,,,27,100,100,,50
ALA-20240817035,Halima,,Eze,F,2009-07-05,2024-08-17,10,Science,88.7,0,0,Upper Middle,0-1 Hour,1-2 Hours,0,Yes,No,Fisherman,Lawyer,0,100,,,73,,,29,100,53,,90,,66,,63,,
ALA-20240917036,Ifeoma,Chima,Obasanjo,F,2008-02-10,2024-09-17,10,Arts,94.0,2,0,High,0-1 Hour,0-1 Hour,0,Yes,No,Pharmacist,IT Specialist,64,,,99,,83,100,,,,61,,100,86,10,24,,96
ALA-20240819037,Adewale,Chima,Chukwu,M,2008-05-29,2024-08-19,10,Arts,80.6,1,0,Low,0-1 Hour,2-3 Hours,1,No,No,At home,Banker,100,,100,82,,,100,,,,100,,,84,69,24,,67
ALA-20240818038,Hadiza,Chioma,Adesina,F,2009-07-06,2024-08-18,10,Science,85.6,0,0,Low,2-3 Hours,1-2 Hours,1,Yes,No,Driver,Real Estate Agent,71,56,,,79,,,95,100,100,,60,,26,,100,,
ALA-20240724039,Emmanuel,,Aliyu,M,2008-05-15,2024-07-24,10,Science,86.3,0,0,Lower Middle,2-3 Hours,0-1 Hour,1,Yes,No,At home,Driver,88,22,,,95,,,100,34,43,,100,,91,,64,,
ALA-20240915040,Kayode,,Ismail,M,2010-11-18,2024-09-15,10,Arts,81.7,1,0,Low,More than 3 hours,0-1 Hour,2,Yes,No,Electrician,Driver,0,,74,88,,100,100,,,,73,,,100,100,100,,51
ALA-20240818041,Oluwaseyi,,Usman,F,2007-04-22,2024-08-18,10,Science,89.5,1,0,Upper Middle,1-2 Hours,2-3 Hours,1,Yes,No,At home,Musician,76,95,,,65,,,86,82,100,,100,,98,,82,,
ALA-20240913042,Chiamaka,Oluwafemi,Mohammed,F,2011-10-17,2024-09-13,10,Arts,84.9,2,0,High,0-1 Hour,0-1 Hour,2,Yes,No,At home,Barber/Hairdresser,85,,,67,,,88,,,,96,,,79,100,79,100,75
ALA-20240714043,Sarah,Emeka,Oluwaseun,F,2010-12-19,2024-07-14,10,Arts,80.4,1,0,Lower Middle,0-1 Hour,1-2 Hours,2,Yes,No,Police Officer,Business Owner,38,,,89,,100,66,,,,61,,,78,100,100,,42
ALA-20240727044,Idris,Onyeka,Onwuka,M,2010-04-29,2024-07-27,10,Science,90.5,0,0,Low,2-3 Hours,1-2 Hours,3,Yes,No,At home,Painter,51,0,,,60,,,59,17,59,,100,,100,,5,,
ALA-20240721045,Adenike,Chukwu,Adebayo,F,2008-03-25,2024-07-21,10,Science,91.9,0,0,Upper Middle,1-2 Hours,0-1 Hour,1,Yes,No,Secretary,Electrician,100,100,,,11,,,77,100,100,,100,,84,,77,,
ALA-20240902046,Amina,Chibuike,Abubakar,F,2010-01-15,2024-09-02,10,Science,90.8,0,0,Low,1-2 Hours,0-1 Hour,2,Yes,No,Contractor,Construction Worker,75,100,,,100,,,100,28,100,,100,,79,,7,,
ALA-20240913047,Bukola,,Chukwu,F,2008-04-10,2024-09-13,10,Arts,78.3,0,0,Lower Middle,1-2 Hours,1-2 Hours,1,Yes,No,Police Officer,Secretary,100,,65,38,,,70,,,,100,,,62,22,100,,44
ALA-20240912048,Nnamdi,Adewale,Chukwuma,M,2008-04-07,2024-09-12,10,Science,94.9,0,0,Low,0-1 Hour,0-1 Hour,1,Yes,Yes,Mechanic,Doctor,92,76,,,67,,,68,69,57,,100,,100,,92,,
ALA-20240901049,Blessing,Chioma,Adewale,F,2008-11-07,2024-09-01,10,Arts,95.7,1,1,Lower Middle,2-3 Hours,1-2 Hours,2,No,No,Mechanic,Tailor,0,,,59,,,83,,,,79,,70,100,79,82,,21
ALA-20240807050,Blessing,,Obasanjo,F,2009-05-23,2024-08-07,10,Arts,87.4,0,0,Lower Middle,1-2 Hours,1-2 Hours,0,Yes,No,Nurse,Artist,45,,,7,,,42,,,,89,,88,76,78,72,,81
ALA-20240920051,Folake,Ola,Bello,F,2011-05-02,2024-09-20,10,Arts,83.1,0,0,Lower Middle,1-2 Hours,1-2 Hours,1,Yes,No,Real Estate Agent,Tailor,84,,,24,,,100,,,,49,,84,74,88,100,,98
ALA-20240903052,Oluwaseyi,,Adewale,F,2008-09-28,2024-09-03,10,Science,86.1,0,0,Upper Middle,1-2 Hours,2-3 Hours,1,Yes,No,At home,Carpenter,100,81,,,100,,,100,100,100,,100,,79,,100,,
ALA-20240802053,Kayode,,Olanrewaju,M,2011-03-03,2024-08-02,10,Science,90.2,3,0,Lower Middle,1-2 Hours,2-3 Hours,0,Yes,No,Mechanic,Nurse,94,41,,,100,,,100,100,100,,66,,100,,85,,
ALA-20240725054,Chioma,Ade,Chukwu,F,2011-09-25,2024-07-25,10,Arts,93.5,1,0,Lower Middle,1-2 Hours,0-1 Hour,1,Yes,No,Shopkeeper,Banker,96,,,88,,,0,,,,100,,100,52,53,100,,70
ALA-20240720055,Folake,Adewale,Adebayo,F,2009-03-13,2024-07-20,10,Arts,93.0,0,0,High,2-3 Hours,0-1 Hour,1,No,No,Professor,Doctor,100,,,100,,,93,,,,100,,96,90,67,69,,100
ALA-20240922056,Victor,Abiodun,Abdullahi,M,2011-12-25,2024-09-22,10,Arts,81.1,2,0,Lower Middle,1-2 Hours,More than 3 hours,2,Yes,No,Musician,Market Trader,69,,,100,,,52,,,,18,,,48,57,100,,20
ALA-20240704057,Titilayo,Chukwu,Amadi,F,2011-07-10,2024-07-04,10,Science,92.9,0,0,Low,1-2 Hours,0-1 Hour,1,Yes,No,Barber/Hairdresser,Tailor,51,85,,,92,,,100,76,74,,100,,94,,100,,
ALA-20240830058,Olamide,,Yusuf,M,2009-12-12,2024-08-30,10,Arts,86.8,0,0,Lower Middle,1-2 Hours,0-1 Hour,0,Yes,No,Store Manager,Electrician,1,,,66,,,36,,,,0,,,93,57,100,,78
ALA-20240929059,Maryam,Abiodun,Ahmed,F,2008-04-25,2024-09-29,10,Arts,84.1,0,0,Upper Middle,2-3 Hours,1-2 Hours,1,No,No,Business Owner,Sales Representative,66,,96,97,,,100,,,,81,,,34,95,49,45,87
ALA-20240703060,Kelechi,,Mohammed,M,2011-03-28,2024-07-03,10,Science,83.5,0,0,Low,2-3 Hours,More than 3 hours,2,No,No,Cleaner,Cleaner,46,91,,,0,,,100,36,100,,100,,97,,90,,
ALA-20240915061,Abiodun,Oluseyi,Adegoke,M,2008-10-01,2024-09-15,10,Science,89.2,1,0,Upper Middle,2-3 Hours,2-3 Hours,2,Yes,No,Carpenter,Pharmacist,73,94,,,100,,,18,100,70,,55,,26,,62,,
ALA-20240714062,Funmilayo,Adewale,Lawal,F,2009-08-30,2024-07-14,10,Arts,84.4,0,0,Lower Middle,1-2 Hours,0-1 Hour,1,Yes,No,Artist,At home,75,,78,86,,,30,,,,20,,,73,48,100,,39
ALA-20240728063,Babatunde,Ngozi,Ibrahim,M,2009-05-08,2024-07-28,10,Science,95.4,1,0,Lower Middle,0-1 Hour,2-3 Hours,1,Yes,No,At home,Nurse,94,88,,,100,,,37,100,59,,100,,56,,53,,
ALA-20240726064,Bunmi,,Ahmed,F,2010-06-07,2024-07-26,10,Arts,83.2,2,1,Lower Middle,1-2 Hours,0-1 Hour,3,Yes,No,Pastor/Imam,Architect,54,,92,100,,,89,,,,66,,,57,65,84,,64
ALA-20240905065,Chinua,Folake,Yusuf,M,2008-10-04,2024-09-05,10,Science,83.4,0,0,Upper Middle,More than 3 hours,2-3 Hours,4,Yes,No,Fisherman,Nurse,100,82,,,100,,,91,100,33,,100,,0,,0,,
ALA-20240702066,Temitayo,Chukwu,Chukwuma,F,2011-07-04,2024-07-02,10,Arts,82.4,0,0,Upper Middle,2-3 Hours,0-1 Hour,1,Yes,No,Store Manager,Shopkeeper,81,,,26,,,87,,,,100,,,100,100,100,,64
ALA-20240728067,Ogechi,Bello,Nwankwo,F,2010-12-09,2024-07-28,10,Arts,85.1,1,0,Low,2-3 Hours,0-1 Hour,4,No,No,Architect,Tailor,58,,,53,,89,100,,,,50,,100,100,73,100,,100
ALA-20240708068,Ayodele,Oluseyi,Mohammed,M,2008-12-12,2024-07-08,10,Science,91.4,0,0,Low,0-1 Hour,2-3 Hours,4,Yes,No,At home,Secretary,33,52,,,38,,,90,100,34,,50,,100,,60,,
ALA-20240807069,Adebayo,Folake,Olanrewaju,M,2008-03-23,2024-08-07,10,Science,93.7,0,0,Low,2-3 Hours,0-1 Hour,0,Yes,No,Barber/Hairdresser,Shopkeeper,96,100,,,97,,,100,100,20,,71,,56,,100,,
ALA-20240701070,Hakeem,Ade,Okoye,M,2008-11-27,2024-07-01,10,Arts,82.8,0,0,Lower Middle,1-2 Hours,0-1 Hour,1,Yes,No,At home,Police Officer,43,,10,85,,,88,,,,80,,,88,76,73,,100
ALA-20240902071,Obinna,,Lawal,M,2011-10-20,2024-09-02,10,Science,79.6,0,0,Low,More than 3 hours,0-1 Hour,0,Yes,No,Restaurant Owner,Security Guard,90,24,,,29,,,69,100,40,,100,,47,,62,,
ALA-20240909072,Ifeoma,Ngozi,Adekunle,F,2011-06-14,2024-09-09,10,Science,81.9,0,0,Upper Middle,2-3 Hours,2-3 Hours,1,Yes,No,At home,Banker,31,100,,,0,,,96,46,77,,100,,100,,48,,
ALA-20240727073,Damilola,Bello,Nwosu,M,2007-02-10,2024-07-27,10,Science,89.4,1,0,Upper Middle,More than 3 hours,0-1 Hour,2,Yes,No,Store Manager,Civil Servant,100,56,,,100,,,54,97,54,,100,,100,,100,,
ALA-20240918074,Chibuike,Ade,Onwuka,M,2009-08-28,2024-09-18,10,Arts,85.0,0,0,Lower Middle,1-2 Hours,1-2 Hours,2,Yes,No,At home,Contractor,84,,,39,,,77,,,,0,,,99,100,49,,100
ALA-20240927075,Maryam,Bello,Afolabi,F,2010-01-06,2024-09-27,10,Arts,85.0,0,0,Low,1-2 Hours,1-2 Hours,3,Yes,No,Construction Worker,Farmer,100,,,95,,98,100,,,,22,,,100,100,91,,100
ALA-20240930076,Mohammed,Chima,Aliyu,M,2009-01-06,2024-09-30,10,Arts,93.9,0,0,Upper Middle,2-3 Hours,2-3 Hours,4,Yes,No,At home,Civil Servant,24,,,34,,,47,,,,100,,,100,6,100,,100
ALA-20240730077,Ayodele,Segun,Chukwu,M,2010-03-17,2024-07-30,10,Arts,82.4,0,0,Low,2-3 Hours,0-1 Hour,4,No,No,At home,Market Trader,100,,100,100,,,54,,,,0,,52,52,96,45,,67
ALA-20240729078,Titilayo,Chinwe,Obasanjo,F,2011-11-23,2024-07-29,10,Arts,88.5,0,0,Low,1-2 Hours,0-1 Hour,1,Yes,No,Driver,Tailor,66,,,81,,100,40,,,,100,,,51,57,100,,98
ALA-20240827079,Abdul,,Olanrewaju,M,2008-06-06,2024-08-27,10,Arts,100.0,0,0,Lower Middle,More than 3 hours,0-1 Hour,1,Yes,No,At home,Driver,62,,94,18,,,100,,,,74,,100,99,84,100,,100
ALA-20240827080,Ayodele,,Nduka,M,2011-10-15,2024-08-27,10,Arts,91.8,3,0,High,1-2 Hours,0-1 Hour,0,Yes,No,At home,Architect,83,,,38,,100,73,,,,73,,,80,70,28,,100
ALA-20240910081,Kelechi,,Ibrahim,M,2008-07-03,2024-09-10,10,Science,83.6,0,0,High,More than 3 hours,0-1 Hour,1,Yes,No,At home,Cleaner,82,93,,,100,,,26,56,12,,96,,29,,50,,
ALA-20240707082,Onyeka,Chibuike,Bello,M,2008-06-30,2024-07-07,10,Arts,80.3,2,1,Upper Middle,2-3 Hours,1-2 Hours,1,Yes,No,At home,Real Estate Agent,73,,,81,,,68,,,,79,,,44,59,52,,100
ALA-20240922083,Amina,Segun,Hassan,F,2011-06-27,2024-09-22,10,Science,96.5,0,0,High,1-2 Hours,1-2 Hours,1,Yes,No,Store Manager,Nurse,52,100,,,86,,,86,100,70,,28,,28,,23,,
ALA-20240819084,Adewale,Tunde,Yusuf,M,2009-08-28,2024-08-19,10,Science,84.7,0,0,Upper Middle,2-3 Hours,More than 3 hours,1,Yes,No,Teacher,Sales Representative,27,100,,,9,,,100,93,0,,0,,40,,84,,
ALA-20240915085,Oluwaseyi,,Musa,F,2009-01-03,2024-09-15,10,Science,85.3,0,0,High,0-1 Hour,2-3 Hours,2,Yes,No,Journalist,Farmer,64,100,,,100,,,71,71,84,,100,,100,,92,,
ALA-20240724086,Olufemi,Emeka,Mohammed,M,2011-02-28,2024-07-24,10,Science,82.9,0,0,Upper Middle,2-3 Hours,2-3 Hours,1,Yes,Yes,At home,Farmer,63,100,,,94,,,75,49,58,,100,,100,,80,,
ALA-20240717087,Khadija,Ngozi,Abubakar,F,2008-07-11,2024-07-17,10,Science,84.6,0,0,Lower Middle,1-2 Hours,0-1 Hour,0,Yes,No,Market Trader,Cleaner,100,75,,,87,,,37,26,12,,100,,90,,100,,
ALA-20240717088,Adebisi,Abiodun,Adebayo,M,2011-09-03,2024-07-17,10,Science,90.6,2,0,Low,2-3 Hours,0-1 Hour,1,Yes,No,Accountant,Real Estate Agent,73,93,,,100,,,100,93,50,,100,,75,,96,,
ALA-20240723089,Fatima,Adewale,Ismail,F,2008-07-27,2024-07-23,10,Science,88.9,0,0,High,More than 3 hours,More than 3 hours,2,Yes,No,At home,Plumber,100,100,,,49,,,100,98,51,,13,,100,,70,,
ALA-20240727090,Gbenga,Chioma,Okoro,M,2010-12-31,2024-07-27,10,Science,90.2,1,0,Low,More than 3 hours,0-1 Hour,1,Yes,No,Business Owner,Pastor/Imam,33,49,,,100,,,95,60,79,,66,,26,,100,,
ALA-20240708091,Oluwaseyi,,Bello,F,2010-07-07,2024-07-08,10,Arts,98.5,0,0,Upper Middle,More than 3 hours,1-2 Hours,4,Yes,No,Business Owner,Driver,92,,,24,,100,100,,,,67,,,29,64,100,100,100
ALA-20240705092,Chiamaka,Ade,Adekunle,F,2010-04-30,2024-07-05,10,Arts,83.0,0,0,Lower Middle,0-1 Hour,1-2 Hours,1,Yes,No,Fisherman,Driver,71,,,100,,,61,,,,100,,23,2,100,86,41,70
ALA-20240703093,Chibuike,,Chukwuma,M,2011-03-15,2024-07-03,10,Arts,88.7,1,0,Lower Middle,0-1 Hour,0-1 Hour,3,Yes,No,Teacher,Shopkeeper,67,,,98,,,38,,,,100,,,100,99,73,,70
ALA-20240721094,Ifeoma,Chidi,Nwachukwu,F,2009-09-13,2024-07-21,10,Arts,76.3,0,0,Low,2-3 Hours,More than 3 hours,1,Yes,No,Fisherman,Market Trader,100,,,78,,100,80,,,,65,,,93,100,51,,100
ALA-20240819095,Ogechi,,Mohammed,F,2010-04-01,2024-08-19,10,Arts,89.8,0,0,Lower Middle,1-2 Hours,0-1 Hour,1,Yes,No,Engineer,Banker,93,,,81,,,14,,,,56,,,95,51,100,54,0
ALA-20240707096,Zainab,,Adegoke,F,2010-06-10,2024-07-07,10,Arts,85.5,0,0,Lower Middle,1-2 Hours,0-1 Hour,3,Yes,No,IT Specialist,Nurse,98,,,80,,,34,,,,99,,100,77,100,77,81,100
ALA-20240724097,Omolara,Ngozi,Yusuf,F,2009-10-17,2024-07-24,10,Science,87.3,0,0,Lower Middle,1-2 Hours,1-2 Hours,1,Yes,No,Architect,Police Officer,100,33,,,100,,,83,97,100,,71,,82,,41,,
ALA-20240804098,David,,Okoye,M,2010-03-12,2024-08-04,10,Arts,91.0,0,0,Lower Middle,0-1 Hour,0-1 Hour,1,Yes,No,Mechanic,Store Manager,73,,,80,,,66,,,,0,,,100,100,74,,95
ALA-20240826099,Folake,Segun,Ismail,F,2010-09-24,2024-08-26,10,Science,90.1,2,0,Upper Middle,2-3 Hours,1-2 Hours,3,Yes,No,Contractor,Plumber,83,100,,,0,,,98,98,72,,76,,100,,73,,
ALA-20240715100,Nneka,Abdul,Nwankwo,F,2011-04-29,2024-07-15,10,Arts,91.4,0,0,Low,1-2 Hours,More than 3 hours,1,Yes,No,Nurse,Chef,100,,,100,,,60,,,,100,,,69,53,36,,100
ALA-20240923101,Habiba,Chibuike,Olanrewaju,F,2008-04-20,2024-09-23,10,Arts,90.8,0,0,Low,2-3 Hours,2-3 Hours,1,Yes,No,Restaurant Owner,Banker,58,,,89,,,74,,,,100,,16,70,71,67,,61
ALA-20240902102,Emmanuel,Chioma,Nwosu,M,2010-09-30,2024-09-02,10,Science,88.9,0,0,Lower Middle,0-1 Hour,1-2 Hours,1,Yes,No,At home,Doctor,64,91,,,61,,,100,59,87,,42,,61,,92,,
ALA-20240904103,Chiamaka,Oluwafemi,Abubakar,F,2008-05-03,2024-09-04,10,Arts,81.2,0,0,Upper Middle,0-1 Hour,0-1 Hour,0,Yes,No,Carpenter,At home,84,,,97,,,65,,,,100,,,100,58,96,,56
ALA-20240923104,Victoria,Oluwafemi,Ismail,F,2010-02-08,2024-09-23,10,Arts,86.9,0,0,Upper Middle,2-3 Hours,2-3 Hours,2,Yes,No,Architect,Journalist,94,,43,95,,,100,,,,58,,,86,100,100,,0
ALA-20240927105,Ebele,Abiodun,Eze,F,2008-04-21,2024-09-27,10,Arts,87.8,3,0,Upper Middle,2-3 Hours,0-1 Hour,2,Yes,No,Lawyer,At home,100,,,100,,,82,,,,100,,,68,100,62,,76
ALA-20240813106,Adebayo,,Njoku,M,2011-06-15,2024-08-13,10,Arts,90.5,0,0,Lower Middle,1-2 Hours,2-3 Hours,0,Yes,No,Musician,Teacher,0,,,100,,70,75,,,,100,,,100,50,100,,2
ALA-20240926107,Victor,Bello,Oluwaseun,M,2011-04-25,2024-09-26,10,Science,90.6,1,0,Lower Middle,1-2 Hours,2-3 Hours,2,Yes,No,Carpenter,Barber/Hairdresser,85,39,,,85,,,100,18,54,,59,,23,,100,,
ALA-20240907108,Chinyere,,Nwankwo,F,2009-04-01,2024-09-07,10,Science,81.9,1,0,Lower Middle,2-3 Hours,0-1 Hour,0,Yes,No,Real Estate Agent,At home,88,100,,,58,,,100,100,100,,93,,100,,53,,
ALA-20240911109,Obinna,,Olanrewaju,M,2008-09-14,2024-09-11,10,Arts,93.8,0,0,Lower Middle,2-3 Hours,More than 3 hours,2,Yes,No,Tailor,Police Officer,71,,,100,,,48,,,,94,,,69,45,68,,63
ALA-20240705110,Adenike,,Onwuka,F,2010-12-04,2024-07-05,10,Arts,87.9,0,0,Low,More than 3 hours,0-1 Hour,1,Yes,No,Plumber,Civil Servant,100,,,95,,,55,,,,65,,,100,91,85,100,100
ALA-20240905111,Amina,Bello,Okoro,F,2009-10-16,2024-09-05,10,Arts,81.7,0,0,Lower Middle,0-1 Hour,1-2 Hours,0,Yes,No,Accountant,Farmer,100,,,99,,,100,,,,76,,,55,100,100,68,61
ALA-20240926112,Habiba,Chima,Nwosu,F,2006-04-13,2024-09-26,10,Arts,98.7,1,0,Lower Middle,1-2 Hours,1-2 Hours,1,Yes,No,Electrician,Banker,100,,,93,,,62,,,,53,,,28,75,55,,30
